IP地址,端口,TLS,数据中心,地区,城市,网络延迟(毫秒),下载速度(MB/s)
77.105.147.79,443,true,FRA,Europe,Frankfurt,181,0.97
77.223.96.158,443,true,DME,Europe,Moscow,136,0.96
77.223.96.232,443,true,ARN,Europe,Stockholm,146,0.96
77.221.151.61,443,true,DME,Europe,Moscow,136,0.96
77.105.147.188,443,true,FRA,Europe,Frankfurt,164,0.96
77.105.146.228,443,true,FRA,Europe,Frankfurt,235,0.96
67.226.223.108,443,true,LHR,Europe,London,219,0.96
77.223.96.158,443,true,ARN,Europe,Stockholm,144,0.96
79.137.207.128,443,true,FRA,Europe,Frankfurt,157,0.96
77.221.157.62,443,true,FRA,Europe,Frankfurt,189,0.96
77.105.146.138,443,true,FRA,Europe,Frankfurt,154,0.95
77.223.96.232,443,true,DME,Europe,Moscow,138,0.95
77.221.157.164,443,true,FRA,Europe,Frankfurt,161,0.95
77.105.146.15,443,true,FRA,Europe,Frankfurt,159,0.95
79.137.202.228,443,true,FRA,Europe,Frankfurt,215,0.95
77.221.157.179,443,true,FRA,Europe,Frankfurt,157,0.95
79.137.202.100,443,true,FRA,Europe,Frankfurt,216,0.95
77.221.157.144,443,true,FRA,Europe,Frankfurt,245,0.95
79.137.207.178,443,true,FRA,Europe,Frankfurt,164,0.95
79.137.202.105,443,true,FRA,Europe,Frankfurt,162,0.95
85.192.60.82,443,true,FRA,Europe,Frankfurt,192,0.94
67.226.223.189,443,true,LHR,Europe,London,162,0.94
85.192.63.151,443,true,FRA,Europe,Frankfurt,172,0.94
77.105.146.138,443,true,FRA,Europe,Frankfurt,185,0.94
85.192.41.185,443,true,FRA,Europe,Frankfurt,208,0.94
67.226.223.255,443,true,LHR,Europe,London,174,0.94
79.137.202.178,443,true,FRA,Europe,Frankfurt,171,0.94
79.137.202.25,443,true,FRA,Europe,Frankfurt,171,0.94
79.137.207.222,443,true,FRA,Europe,Frankfurt,198,0.94
77.91.77.199,443,true,FRA,Europe,Frankfurt,177,0.94
81.22.132.47,443,true,AMS,Europe,Amsterdam,182,0.94
77.91.77.87,443,true,FRA,Europe,Frankfurt,199,0.94
85.192.40.23,443,true,FRA,Europe,Frankfurt,184,0.94
79.137.199.224,443,true,FRA,Europe,Frankfurt,1228,0.94
77.105.146.185,443,true,FRA,Europe,Frankfurt,203,0.94
77.105.146.160,443,true,FRA,Europe,Frankfurt,241,0.94
85.192.42.179,443,true,FRA,Europe,Frankfurt,162,0.94
81.19.137.108,443,true,FRA,Europe,Frankfurt,199,0.94
77.221.157.156,443,true,FRA,Europe,Frankfurt,152,0.94
86.107.197.239,443,true,AMS,Europe,Amsterdam,162,0.94
79.137.194.38,443,true,FRA,Europe,Frankfurt,174,0.93
77.105.147.188,443,true,FRA,Europe,Frankfurt,173,0.93
79.137.207.45,443,true,FRA,Europe,Frankfurt,180,0.93
77.105.146.58,443,true,FRA,Europe,Frankfurt,206,0.93
77.105.146.15,443,true,FRA,Europe,Frankfurt,184,0.93
79.137.196.91,443,true,FRA,Europe,Frankfurt,190,0.93
77.221.154.136,443,true,FRA,Europe,Frankfurt,191,0.93
77.73.131.188,443,true,FRA,Europe,Frankfurt,171,0.93
79.137.194.186,443,true,FRA,Europe,Frankfurt,167,0.93
81.22.132.136,443,true,AMS,Europe,Amsterdam,190,0.93
67.226.223.146,443,true,LHR,Europe,London,206,0.93
77.105.146.243,443,true,FRA,Europe,Frankfurt,157,0.93
80.66.84.113,443,true,FRA,Europe,Frankfurt,230,0.93
79.137.197.81,443,true,FRA,Europe,Frankfurt,1218,0.93
79.137.194.19,443,true,FRA,Europe,Frankfurt,221,0.93
79.137.195.229,443,true,FRA,Europe,Frankfurt,188,0.93
79.137.202.188,443,true,FRA,Europe,Frankfurt,160,0.93
79.137.194.187,443,true,FRA,Europe,Frankfurt,1190,0.93
85.192.60.92,443,true,FRA,Europe,Frankfurt,162,0.93
81.22.132.183,443,true,AMS,Europe,Amsterdam,179,0.93
79.137.205.32,443,true,FRA,Europe,Frankfurt,157,0.93
77.105.146.243,443,true,FRA,Europe,Frankfurt,171,0.93
77.91.77.91,443,true,FRA,Europe,Frankfurt,179,0.93
85.192.40.211,443,true,FRA,Europe,Frankfurt,173,0.93
79.137.197.181,443,true,FRA,Europe,Frankfurt,193,0.93
85.192.60.46,443,true,FRA,Europe,Frankfurt,1194,0.93
79.137.207.241,443,true,FRA,Europe,Frankfurt,207,0.93
85.192.41.187,443,true,FRA,Europe,Frankfurt,193,0.93
79.137.199.192,443,true,FRA,Europe,Frankfurt,1174,0.92
79.137.199.192,443,true,FRA,Europe,Frankfurt,172,0.92
79.137.204.122,443,true,FRA,Europe,Frankfurt,1209,0.92
77.221.154.238,443,true,FRA,Europe,Frankfurt,194,0.92
77.73.131.125,443,true,FRA,Europe,Frankfurt,233,0.92
79.137.202.197,443,true,FRA,Europe,Frankfurt,177,0.92
79.137.205.248,443,true,FRA,Europe,Frankfurt,172,0.92
79.137.202.234,443,true,FRA,Europe,Frankfurt,215,0.92
